name	id	nametype	recclass	mass (g)	fall	year	reclat	reclong	GeoLocation	Latitude	Longitude				
Dhofar 1688	56194	Valid	L5	52.5	Found	1/1/11 0:00	18.18535	54.269		18.18535	54.269	0.0525	"18.18535,54.269,0.0525,"	"18.18535,54.269,52.5,"	
Dhofar 1689	56195	Valid	H5	22.3	Found	1/1/11 0:00	18.188	54.2698		18.188	54.2698	0.0223	"18.188,54.2698,0.0223,"	"18.188,54.2698,22.3,"	
Dhofar 1690	56196	Valid	H5	700.5	Found	1/1/11 0:00	18.20358	54.29502		18.20358	54.29502	0.7005	"18.20358,54.29502,0.7005,"	"18.20358,54.29502,700.5,"	
Dhofar 1691	56197	Valid	H5-6	105.5	Found	1/1/11 0:00	18.21135	54.2995		18.21135	54.2995	0.1055	"18.21135,54.2995,0.1055,"	"18.21135,54.2995,105.5,"	
Dhofar 1692	56198	Valid	L6	1568	Found	1/1/11 0:00	18.38863	54.5411		18.38863	54.5411	1.568	"18.38863,54.5411,1.568,"	"18.38863,54.5411,1568,"	
Dhofar 1693	56199	Valid	L4	1049	Found	1/1/11 0:00	18.46253	54.65335		18.46253	54.65335	1.049	"18.46253,54.65335,1.049,"	"18.46253,54.65335,1049,"	
Dhofar 1725	57432	Valid	L5	263	Found	1/1/11 0:00	19.18687	54.8817		19.18687	54.8817	0.263	"19.18687,54.8817,0.263,"	"19.18687,54.8817,263,"	
Dhofar 1726	56423	Valid	H3	1050	Found	1/1/11 0:00	19.1823	54.88755		19.1823	54.88755	1.05	"19.1823,54.88755,1.05,"	"19.1823,54.88755,1050,"	
Dhofar 1727	56354	Valid	H6	453	Found	1/1/11 0:00	19.13952	54.66558		19.13952	54.66558	0.453	"19.13952,54.66558,0.453,"	"19.13952,54.66558,453,"	
Dhofar 1728	56355	Valid	L6	1140	Found	1/1/11 0:00	18.9842	54.64507		18.9842	54.64507	1.14	"18.9842,54.64507,1.14,"	"18.9842,54.64507,1140,"	
Dhofar 1729	56356	Valid	H6	482	Found	1/1/11 0:00	19.00318	54.611		19.00318	54.611	0.482	"19.00318,54.611,0.482,"	"19.00318,54.611,482,"	
Dhofar 1730	56357	Valid	H6	1763	Found	1/1/11 0:00	18.49222	54.1814		18.49222	54.1814	1.763	"18.49222,54.1814,1.763,"	"18.49222,54.1814,1763,"	
Dhofar 1731	56358	Valid	H5	2222	Found	1/1/11 0:00	18.57053	54.164		18.57053	54.164	2.222	"18.57053,54.164,2.222,"	"18.57053,54.164,2222,"	
Dhofar 1732	56359	Valid	L6	782	Found	1/1/11 0:00	19.11582	54.59603		19.11582	54.59603	0.782	"19.11582,54.59603,0.782,"	"19.11582,54.59603,782,"	
Dhofar 1733	57433	Valid	L3	7700	Found	1/1/11 0:00	19.15823	54.88668		19.15823	54.88668	7.7	"19.15823,54.88668,7.7,"	"19.15823,54.88668,7700,"	
Dhofar 1753	56591	Valid	LL7	21.5	Found	1/1/11 0:00	19.24528	54.46278		19.24528	54.46278	0.0215	"19.24528,54.46278,0.0215,"	"19.24528,54.46278,21.5,"	
El Médano 042	55697	Valid	L6	22.6	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0226	"-24.85,-70.53333,0.0226,"	"-24.85,-70.53333,22.6,"	
El Médano 043	55698	Valid	H4	24.8	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0248	"-24.85,-70.53333,0.0248,"	"-24.85,-70.53333,24.8,"	
El Médano 044	55699	Valid	L6	44.4	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0444	"-24.85,-70.53333,0.0444,"	"-24.85,-70.53333,44.4,"	
El Médano 045	55700	Valid	H5	319	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.319	"-24.85,-70.53333,0.319,"	"-24.85,-70.53333,319,"	
El Médano 046	55701	Valid	H4	40.1	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0401	"-24.85,-70.53333,0.0401,"	"-24.85,-70.53333,40.1,"	
El Médano 047	55702	Valid	H4	57.9	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0579	"-24.85,-70.53333,0.0579,"	"-24.85,-70.53333,57.9,"	
El Médano 048	55703	Valid	H5	118	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.118	"-24.85,-70.53333,0.118,"	"-24.85,-70.53333,118,"	
El Médano 049	55704	Valid	H4	138	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.138	"-24.85,-70.53333,0.138,"	"-24.85,-70.53333,138,"	
El Médano 050	55705	Valid	H5	52	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.052	"-24.85,-70.53333,0.052,"	"-24.85,-70.53333,52,"	
El Médano 051	55706	Valid	L6	28.9	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0289	"-24.85,-70.53333,0.0289,"	"-24.85,-70.53333,28.9,"	
El Médano 052	55707	Valid	H5	66.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0665	"-24.85,-70.53333,0.0665,"	"-24.85,-70.53333,66.5,"	
El Médano 053	55708	Valid	H4/5	17.9	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0179	"-24.85,-70.53333,0.0178999999999999,"	"-24.85,-70.53333,17.8999999999999,"	
El Médano 054	55709	Valid	H5	46.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0465	"-24.85,-70.53333,0.0465,"	"-24.85,-70.53333,46.5,"	
El Médano 055	55710	Valid	H6	34.3	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0343	"-24.85,-70.53333,0.0342999999999999,"	"-24.85,-70.53333,34.2999999999999,"	
El Médano 056	56280	Valid	CK5	180	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.18	"-24.85,-70.53333,0.18,"	"-24.85,-70.53333,180,"	
El Médano 059	56171	Valid	H4	27	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.027	"-24.85,-70.53333,0.027,"	"-24.85,-70.53333,27,"	
El Médano 060	56313	Valid	H3	29	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.029	"-24.85,-70.53333,0.029,"	"-24.85,-70.53333,29,"	
El Médano 061	56172	Valid	H5	57	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.057	"-24.85,-70.53333,0.057,"	"-24.85,-70.53333,57,"	
El Médano 062	56173	Valid	L6	22	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.022	"-24.85,-70.53333,0.022,"	"-24.85,-70.53333,22,"	
El Médano 063	56174	Valid	H4	23	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.023	"-24.85,-70.53333,0.023,"	"-24.85,-70.53333,23,"	
El Médano 064	56175	Valid	H4	22	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.022	"-24.85,-70.53333,0.022,"	"-24.85,-70.53333,22,"	
El Médano 065	56176	Valid	H5	11.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0115	"-24.85,-70.53333,0.0115,"	"-24.85,-70.53333,11.5,"	
El Médano 066	56177	Valid	H5	15.8	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0158	"-24.85,-70.53333,0.0158,"	"-24.85,-70.53333,15.8,"	
El Médano 067	56178	Valid	L6	20.4	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0204	"-24.85,-70.53333,0.0203999999999999,"	"-24.85,-70.53333,20.3999999999999,"	
El Médano 068	56179	Valid	H4	125	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.125	"-24.85,-70.53333,0.125,"	"-24.85,-70.53333,125,"	
El Médano 069	56180	Valid	H6	65	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.065	"-24.85,-70.53333,0.065,"	"-24.85,-70.53333,65,"	
El Médano 070	56371	Valid	L6	51	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.051	"-24.85,-70.53333,0.051,"	"-24.85,-70.53333,51,"	
El Médano 071	56372	Valid	H5	163	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.163	"-24.85,-70.53333,0.163,"	"-24.85,-70.53333,163,"	
El Médano 072	56373	Valid	H4	19.9	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0199	"-24.85,-70.53333,0.0198999999999999,"	"-24.85,-70.53333,19.8999999999999,"	
El Médano 073	56374	Valid	LL6	67	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.067	"-24.85,-70.53333,0.067,"	"-24.85,-70.53333,67,"	
El Médano 074	56375	Valid	H4	42.4	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0424	"-24.85,-70.53333,0.0424,"	"-24.85,-70.53333,42.4,"	
El Médano 075	56376	Valid	L4	186	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.186	"-24.85,-70.53333,0.186,"	"-24.85,-70.53333,186,"	
El Médano 076	56377	Valid	H5	14.1	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0141	"-24.85,-70.53333,0.0141,"	"-24.85,-70.53333,14.1,"	
El Médano 077	56588	Valid	L4	72	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.072	"-24.85,-70.53333,0.072,"	"-24.85,-70.53333,72,"	
El Médano 078	56378	Valid	L6	1228	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	1.228	"-24.85,-70.53333,1.228,"	"-24.85,-70.53333,1228,"	
El Médano 079	56379	Valid	H5	230	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.23	"-24.85,-70.53333,0.23,"	"-24.85,-70.53333,230,"	
El Médano 080	56592	Valid	L6	24.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0245	"-24.85,-70.53333,0.0245,"	"-24.85,-70.53333,24.5,"	
El Médano 081	56593	Valid	H4	13.4	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0134	"-24.85,-70.53333,0.0134,"	"-24.85,-70.53333,13.4,"	
El Médano 082	56594	Valid	H5	22.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0225	"-24.85,-70.53333,0.0225,"	"-24.85,-70.53333,22.5,"	
El Médano 083	56595	Valid	H5	12.6	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0126	"-24.85,-70.53333,0.0126,"	"-24.85,-70.53333,12.6,"	
El Médano 084	56596	Valid	H5	45	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.045	"-24.85,-70.53333,0.045,"	"-24.85,-70.53333,45,"	
El Médano 085	56597	Valid	H4	12.9	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0129	"-24.85,-70.53333,0.0129,"	"-24.85,-70.53333,12.9,"	
El Médano 086	56598	Valid	H4	1258	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	1.258	"-24.85,-70.53333,1.258,"	"-24.85,-70.53333,1258,"	
El Médano 087	56599	Valid	H4	13.9	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0139	"-24.85,-70.53333,0.0139,"	"-24.85,-70.53333,13.9,"	
El Médano 088	56600	Valid	L6	10.1	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0101	"-24.85,-70.53333,0.0101,"	"-24.85,-70.53333,10.1,"	
El Médano 089	56601	Valid	L6	296	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.296	"-24.85,-70.53333,0.296,"	"-24.85,-70.53333,296,"	
El Médano 090	56602	Valid	L6	18.8	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0188	"-24.85,-70.53333,0.0188,"	"-24.85,-70.53333,18.8,"	
El Médano 091	56603	Valid	H5	17.8	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0178	"-24.85,-70.53333,0.0178,"	"-24.85,-70.53333,17.8,"	
El Médano 092	56604	Valid	H6	289	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.289	"-24.85,-70.53333,0.289,"	"-24.85,-70.53333,289,"	
El Médano 093	56605	Valid	H4-6	51.8	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0518	"-24.85,-70.53333,0.0518,"	"-24.85,-70.53333,51.8,"	
El Médano 094	56606	Valid	L6	35.3	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0353	"-24.85,-70.53333,0.0352999999999999,"	"-24.85,-70.53333,35.2999999999999,"	
El Médano 095	56607	Valid	LL6	72	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.072	"-24.85,-70.53333,0.072,"	"-24.85,-70.53333,72,"	
El Médano 096	56689	Valid	Acapulcoite	11.1	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0111	"-24.85,-70.53333,0.0111,"	"-24.85,-70.53333,11.1,"	
El Médano 097	56608	Valid	L5-6	229	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.229	"-24.85,-70.53333,0.229,"	"-24.85,-70.53333,229,"	
El Médano 098	56609	Valid	L6	135	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.135	"-24.85,-70.53333,0.135,"	"-24.85,-70.53333,135,"	
El Médano 099	56610	Valid	H5	10.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0105	"-24.85,-70.53333,0.0105,"	"-24.85,-70.53333,10.5,"	
El Médano 100	57139	Valid	C2-ung	1.8	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0018	"-24.85,-70.53333,0.0018,"	"-24.85,-70.53333,1.8,"	
El Médano 101	56634	Valid	L6	19.1	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0191	"-24.85,-70.53333,0.0191,"	"-24.85,-70.53333,19.1,"	
El Médano 102	56635	Valid	H4/5	65	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.065	"-24.85,-70.53333,0.065,"	"-24.85,-70.53333,65,"	
El Médano 103	56636	Valid	LL6	61	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.061	"-24.85,-70.53333,0.061,"	"-24.85,-70.53333,61,"	
El Médano 104	56637	Valid	LL5	27	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.027	"-24.85,-70.53333,0.027,"	"-24.85,-70.53333,27,"	
El Médano 105	56638	Valid	H5/6	16.7	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0167	"-24.85,-70.53333,0.0167,"	"-24.85,-70.53333,16.7,"	
El Médano 106	56639	Valid	H5/6	91	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.091	"-24.85,-70.53333,0.091,"	"-24.85,-70.53333,91,"	
El Médano 107	56640	Valid	H5/6	10.3	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0103	"-24.85,-70.53333,0.0103,"	"-24.85,-70.53333,10.3,"	
El Médano 108	56641	Valid	H4	15.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0155	"-24.85,-70.53333,0.0155,"	"-24.85,-70.53333,15.5,"	
El Médano 109	56722	Valid	H3	13.1	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0131	"-24.85,-70.53333,0.0131,"	"-24.85,-70.53333,13.1,"	
El Médano 110	56642	Valid	LL6	28.8	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0288	"-24.85,-70.53333,0.0288,"	"-24.85,-70.53333,28.8,"	
El Médano 111	56657	Valid	H5	139	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.139	"-24.85,-70.53333,0.139,"	"-24.85,-70.53333,139,"	
